id_categorie_billet;id_salle;nom_salle;categorie_billet;jauge_categorie_billet;type_tarif;id_cat_profil;id_cat_horaire;profil_tarif;horaire_tarif;tarif_brut
SCSR01;SCSR;Salle Richelieu;A;338;INDIVIDUEL;CP001;CH002;Plein tarif;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;44
SCSR01;SCSR;Salle Richelieu;A;338;INDIVIDUEL;CP001;CH003;Plein tarif;Vendredi & samedi à 20h30;48
SCSR01;SCSR;Salle Richelieu;A;338;INDIVIDUEL;CP001;CH004;Plein tarif;Samedi 14h & dimanche à 20h30;40
SCSR01;SCSR;Salle Richelieu;A;338;INDIVIDUEL;CP002;CH002;Moins de 30 ans + plus de 28 ans;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;44
SCSR01;SCSR;Salle Richelieu;A;338;INDIVIDUEL;CP002;CH003;Moins de 30 ans + plus de 28 ans;Vendredi & samedi à 20h30;48
SCSR01;SCSR;Salle Richelieu;A;338;INDIVIDUEL;CP002;CH004;Moins de 30 ans + plus de 28 ans;Samedi 14h & dimanche à 20h30;40
SCSR01;SCSR;Salle Richelieu;A;338;INDIVIDUEL;CP003;CH002;Moins de 28 ans;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;22
SCSR01;SCSR;Salle Richelieu;A;338;INDIVIDUEL;CP003;CH003;Moins de 28 ans;Vendredi & samedi à 20h30;24
SCSR01;SCSR;Salle Richelieu;A;338;INDIVIDUEL;CP003;CH004;Moins de 28 ans;Samedi 14h & dimanche à 20h30;24
SCSR01;SCSR;Salle Richelieu;A;338;INDIVIDUEL;CP004;CH002;Demandeurs d'emploi;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;24
SCSR01;SCSR;Salle Richelieu;A;338;INDIVIDUEL;CP004;CH003;Demandeurs d'emploi;Vendredi & samedi à 20h30;26
SCSR01;SCSR;Salle Richelieu;A;338;INDIVIDUEL;CP004;CH004;Demandeurs d'emploi;Samedi 14h & dimanche à 20h30;22
SCSR01;SCSR;Salle Richelieu;A;338;INDIVIDUEL;CP005;CH001;Minima Sociaux;Horaire Indifférencié;16
SCSR01;SCSR;Salle Richelieu;A;338;INDIVIDUEL;CP006;CH001;Personne en situation de handicap adulte;Horaire Indifférencié;30
SCSR01;SCSR;Salle Richelieu;A;338;INDIVIDUEL;CP007;CH001;Personne en situation de handicap moins de 28 ans;Horaire Indifférencié;22
SCSR01;SCSR;Salle Richelieu;A;338;INDIVIDUEL;CP008;CH001;Accompagnateur, accompagnatrice sous condition;Horaire Indifférencié;0
SCSR01;SCSR;Salle Richelieu;A;338;ABONNEMENT;CP009;CH001;Carte Adulte;Horaire Indifférencié;40
SCSR01;SCSR;Salle Richelieu;A;338;ABONNEMENT;CP010;CH001;Carte Jeune / Tarif moins de 28 ans;Horaire Indifférencié;20
SCSR01;SCSR;Salle Richelieu;A;338;ABONNEMENT;CP011;CH001;Carte Famille / Tarif adulte;Horaire Indifférencié;40
SCSR01;SCSR;Salle Richelieu;A;338;ABONNEMENT;CP012;CH001;Carte Famille / Tarif moins de 28 ans;Horaire Indifférencié;20
SCSR01;SCSR;Salle Richelieu;A;338;GROUPE;CP013;CH002;Collectivités;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;42
SCSR01;SCSR;Salle Richelieu;A;338;GROUPE;CP013;CH003;Collectivités;Vendredi & samedi à 20h30;48
SCSR01;SCSR;Salle Richelieu;A;338;GROUPE;CP013;CH004;Collectivités;Samedi 14h & dimanche à 20h30;40
SCSR02;SCSR;Salle Richelieu;B;191;INDIVIDUEL;CP001;CH002;Plein tarif;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;32
SCSR02;SCSR;Salle Richelieu;B;191;INDIVIDUEL;CP001;CH003;Plein tarif;Vendredi & samedi à 20h30;34
SCSR02;SCSR;Salle Richelieu;B;191;INDIVIDUEL;CP001;CH004;Plein tarif;Samedi 14h & dimanche à 20h30;30
SCSR02;SCSR;Salle Richelieu;B;191;INDIVIDUEL;CP002;CH002;Moins de 30 ans + plus de 28 ans;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;32
SCSR02;SCSR;Salle Richelieu;B;191;INDIVIDUEL;CP002;CH003;Moins de 30 ans + plus de 28 ans;Vendredi & samedi à 20h30;34
SCSR02;SCSR;Salle Richelieu;B;191;INDIVIDUEL;CP002;CH004;Moins de 30 ans + plus de 28 ans;Samedi 14h & dimanche à 20h30;30
SCSR02;SCSR;Salle Richelieu;B;191;INDIVIDUEL;CP003;CH002;Moins de 28 ans;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;16
SCSR02;SCSR;Salle Richelieu;B;191;INDIVIDUEL;CP003;CH003;Moins de 28 ans;Vendredi & samedi à 20h30;17
SCSR02;SCSR;Salle Richelieu;B;191;INDIVIDUEL;CP003;CH004;Moins de 28 ans;Samedi 14h & dimanche à 20h30;15
SCSR02;SCSR;Salle Richelieu;B;191;INDIVIDUEL;CP004;CH002;Demandeurs d'emploi;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;18
SCSR02;SCSR;Salle Richelieu;B;191;INDIVIDUEL;CP004;CH003;Demandeurs d'emploi;Vendredi & samedi à 20h30;19
SCSR02;SCSR;Salle Richelieu;B;191;INDIVIDUEL;CP004;CH004;Demandeurs d'emploi;Samedi 14h & dimanche à 20h30;17
SCSR02;SCSR;Salle Richelieu;B;191;INDIVIDUEL;CP005;CH001;Minima Sociaux;Horaire Indifférencié;12
SCSR02;SCSR;Salle Richelieu;B;191;INDIVIDUEL;CP006;CH001;Personne en situation de handicap adulte;Horaire Indifférencié;22
SCSR02;SCSR;Salle Richelieu;B;191;INDIVIDUEL;CP007;CH001;Personne en situation de handicap moins de 28 ans;Horaire Indifférencié;16
SCSR02;SCSR;Salle Richelieu;B;191;INDIVIDUEL;CP008;CH001;Accompagnateur, accompagnatrice sous condition;Horaire Indifférencié;0
SCSR02;SCSR;Salle Richelieu;B;191;ABONNEMENT;CP009;CH001;Carte Adulte;Horaire Indifférencié;30
SCSR02;SCSR;Salle Richelieu;B;191;ABONNEMENT;CP010;CH001;Carte Jeune / Tarif moins de 28 ans;Horaire Indifférencié;15
SCSR02;SCSR;Salle Richelieu;B;191;ABONNEMENT;CP011;CH001;Carte Famille / Tarif adulte;Horaire Indifférencié;30
SCSR02;SCSR;Salle Richelieu;B;191;ABONNEMENT;CP012;CH001;Carte Famille / Tarif moins de 28 ans;Horaire Indifférencié;15
SCSR02;SCSR;Salle Richelieu;B;191;GROUPE;CP013;CH002;Collectivités;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;30
SCSR02;SCSR;Salle Richelieu;B;191;GROUPE;CP013;CH003;Collectivités;Vendredi & samedi à 20h30;34
SCSR02;SCSR;Salle Richelieu;B;191;GROUPE;CP013;CH004;Collectivités;Samedi 14h & dimanche à 20h30;30
SCSR02;SCSR;Salle Richelieu;B;191;GROUPE;CP014;CH001;Enseignement (groupes scolaires);Horaire Indifférencié;15
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP001;CH002;Plein tarif;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;16
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP001;CH003;Plein tarif;Vendredi & samedi à 20h30;18
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP001;CH004;Plein tarif;Samedi 14h & dimanche à 20h30;15
SCSR03;SCSR;Salle Richelieu;C;262;INDIVIDUEL;CP002;CH002;Moins de 30 ans + plus de 28 ans;Lundi, mardi, mercredi, jeudi à 20h30 & dimanche à 14h;16
