id_representation;id_spectacle;nom_spectacle;jour_representation;heure_representation;horraire_representation;id_cat_representation;date_representation;id_salle;nom_salle
R001;S001;LES FOURBERIES DE SCAPIN;jeudi;20h30;jeudi 20h30;CH002;2025-09-11;SCSR;Salle Richelieu
R002;S001;LES FOURBERIES DE SCAPIN;vendredi;20h30;vendredi 20h30;CH003;2025-09-12;SCSR;Salle Richelieu
R003;S001;LES FOURBERIES DE SCAPIN;samedi;20h30;samedi 20h30;CH003;2025-09-13;SCSR;Salle Richelieu
R004;S001;LES FOURBERIES DE SCAPIN;lundi;20h30;lundi 20h30;CH002;2025-09-15;SCSR;Salle Richelieu
R005;S001;LES FOURBERIES DE SCAPIN;mardi;20h30;mardi 20h30;CH002;2025-09-16;SCSR;Salle Richelieu
R006;S001;LES FOURBERIES DE SCAPIN;samedi;20h30;samedi 20h30;CH003;2025-09-20;SCSR;Salle Richelieu
R007;S001;LES FOURBERIES DE SCAPIN;lundi;20h30;lundi 20h30;CH002;2025-09-22;SCSR;Salle Richelieu
R008;S001;LES FOURBERIES DE SCAPIN;mardi;20h30;mardi 20h30;CH002;2025-09-23;SCSR;Salle Richelieu
R009;S001;LES FOURBERIES DE SCAPIN;jeudi;20h30;jeudi 20h30;CH002;2025-09-25;SCSR;Salle Richelieu
R010;S001;LES FOURBERIES DE SCAPIN;vendredi;20h30;vendredi 20h30;CH003;2025-09-26;SCSR;Salle Richelieu
R011;S001;LES FOURBERIES DE SCAPIN;samedi;20h30;samedi 20h30;CH003;2025-09-27;SCSR;Salle Richelieu
R012;S001;LES FOURBERIES DE SCAPIN;dimanche;14h00;dimanche 14h00;CH001;2025-09-28;SCSR;Salle Richelieu
R013;S001;LES FOURBERIES DE SCAPIN;mardi;20h30;mardi 20h30;CH002;2025-09-30;SCSR;Salle Richelieu
R014;S001;LES FOURBERIES DE SCAPIN;mercredi;20h30;mercredi 20h30;CH002;2025-10-01;SCSR;Salle Richelieu
R015;S001;LES FOURBERIES DE SCAPIN;jeudi;20h30;jeudi 20h30;CH002;2025-10-02;SCSR;Salle Richelieu
R016;S001;LES FOURBERIES DE SCAPIN;samedi;14h00;samedi 14h00;CH001;2025-10-04;SCSR;Salle Richelieu
R017;S001;LES FOURBERIES DE SCAPIN;dimanche;20h30;dimanche 20h30;CH004;2025-10-05;SCSR;Salle Richelieu
R018;S001;LES FOURBERIES DE SCAPIN;jeudi;20h30;jeudi 20h30;CH002;2025-10-09;SCSR;Salle Richelieu
R019;S001;LES FOURBERIES DE SCAPIN;samedi;14h00;samedi 14h00;CH001;2025-10-11;SCSR;Salle Richelieu
R020;S001;LES FOURBERIES DE SCAPIN;dimanche;20h30;dimanche 20h30;CH004;2025-10-12;SCSR;Salle Richelieu
R021;S001;LES FOURBERIES DE SCAPIN;mercredi;20h30;mercredi 20h30;CH002;2025-10-15;SCSR;Salle Richelieu
