id_spectacle;nom_spectacle
S001;LES FOURBERIES DE SCAPIN
S002;UNE MOUETTE
S003;LE MISANTHROPE
S004;L’ÉCOLE DE DANSE
S005;LE MARIAGE FORCÉ
S006;CASSE-NOISETTE OU LE ROYAUME DE LA NUIT
S007;SIX PERSONNAGES EN QUÊTE D’AUTEUR
S008;L’ORDRE DU JOUR
S009;PENTHÉSILÉE
S010;ÉTINCELLES
S011;PINOCCHIO CRÉATURE
S012;POUR EN FINIR AVEC LE FOOTBALL
S013;BESTIOLES
S014;DÉSHONORÉE UN CRIME D’HONNEUR EN CALABRE
S015;ART MAJEUR
S016;LUMIÈRES, LUMIÈRES, LUMIÈRES
S017;LE BOURGEOIS GENTILHOMME
S018;LE CID
S019;LE MALADE IMAGINAIRE
S020;CONTRE
S021;LES HÉROS NE DORMENT JAMAIS
S022;SÉISME
S023;LES FEMMES SAVANTES
S024;HAMLET
S025;LA PUCE À L’OREILLE
S026;HÉCUBE, PAS HÉCUBE
S027;LE TARTUFFE OU L’HYPOCRITE
